category,dislikes,image_url,likes,page_number,scraped_at,tags,timestamp,title,url,views
Cəmiyyət,32,https://images.oxu.az/2025/11/27/895MPdqbIFmRHaSYDV2WPHcf0qRvb15iY2iU896i:600.webp,47,15,2025-11-28T10:03:39.958765,,2025-11-27 14:02:00,Bu il yeni doğulan uşaqlara ən çox hansı adlar qoyulub?,https://oxu.az/cemiyyet/bu-il-yeni-dogulan-usaqlara-en-cox-hansi-adlar-qoyulub,2618
Cəmiyyət,68,https://images.oxu.az/2025/11/27/2ViakAnbNpZ7zbzigGUtrAodol2EWiFLnuBSA9Yx:600.webp,15,15,2025-11-28T10:03:39.958765,Video,2025-11-27 13:58:00,Goranboyda çökən binanın sakinləri ilə bağlı QƏRAR,https://oxu.az/cemiyyet/goranboyda-coken-binanin-sakinleri-ile-bagi-qerar,5634
Siyasət,14,https://images.oxu.az/2025/11/27/loa7k2xdG4oB1Q7Ois1k4194apokQ43YH8WyAIWD:600.jpg,258,15,2025-11-28T10:03:39.958765,Yenilənib,2025-11-27 13:55:00,"Köç karvanı Horovlu kəndinə çatıb, açarlar təqdim edilib",https://oxu.az/siyaset/cebrayil-rayonunun-horovlu-kendine-novbeti-koc-karvani-yola-salinir,2054
Dünya,2,https://images.oxu.az/2025/11/27/EbnGnTgeS1ILy3DhS0QBLD5rx5zEjAYddYfoFvS0:600.webp,56,15,2025-11-28T10:03:39.958765,,2025-11-27 13:54:00,Məhkəmə Banqladeşin sabiq baş nazirinə sərt hökm oxudu,https://oxu.az/dunya/mehkeme-banqladesin-sabiq-bas-nazirine-sert-hokm-oxudu,1307
İdman,12,https://images.oxu.az/2025/11/27/0XQx3Hbhg9n2rMKKPGHjVIFHXnAITFT1AP09Kh4b:600.jpg,130,15,2025-11-28T10:03:39.958765,,2025-11-27 13:50:00,"""Qarabağ""ın pley-off mərhələsinə yüksəlmək şansı neçə faizdir?",https://oxu.az/idman/qarabag-in-pley-off-merhelesine-yukselmek-sansi-nece-faizdir,5928
Dünya,4,https://images.oxu.az/2025/11/27/vER8DHmex4Ji3iDjMgVxTsZBkiPBH9mbKhPGFQGQ:600.webp,192,15,2025-11-28T10:03:39.958765,,2025-11-27 13:46:00,Üç erməni Krım körpüsündə terror aktına görə ömürlük həbs olundu,https://oxu.az/dunya/uc-ermeni-krim-korpusunde-terror-aktina-gore-omurluk-hebs-olundu,1112
Turizm,2,https://images.oxu.az/2025/11/27/UoKDpcvhCwvDBYlzIpnmjmMuXu5pSQRXJaTCKOAA:600.jpg,47,15,2025-11-28T10:03:39.964940,,2025-11-27 13:42:00,Azərbaycan Əmmana müntəzəm aviareyslərin təşkili imkanlarını nəzərdən keçirir,https://oxu.az/turizm/azerbaycan-emmana-muntezem-aviareyslerin-teskili-imkanlarini-nezerden-kecirir,307
Dünya,19,https://images.oxu.az/2025/11/27/mMwMhgqdfZ6e5lXRsjeob2qWnrix91WChiNskOwc:600.jpg,46,15,2025-11-28T10:03:39.964940,,2025-11-27 13:38:00,Qvineya-Bisauda hərbi çevrilişdən sonra bəzi sosial şəbəkələrə giriş məhdudlaşdırıldı,https://oxu.az/dunya/qvineya-bisauda-herbi-cevrilisden-sonra-bezi-sosial-sebekelere-giris-mehdudlasdirildi,722
İqtisadiyyat,34,https://images.oxu.az/2023/05/20/20/32/56/98cbdf21-b01d-4971-8ee2-f320aef94073/aqrar:600.jpg,10,15,2025-11-28T10:03:39.964940,,2025-11-27 13:34:00,20 milyon manat aqrar sığorta ödənişi edilib,https://oxu.az/iqtisadiyyat/20-milyon-manat-aqrar-sigorta-odenisi-edilib,213
Kriminal,38,https://images.oxu.az/2025/11/27/HasffK2r93AHBbakhHlryVE81MK5oV0mdANTFMu5:600.webp,2,15,2025-11-28T10:03:39.964940,,2025-11-27 13:30:00,Həbsdə olan müğənni Dəniz Əsədova sabiq baş həkimlə bağlı ifadəsini dəyişib,https://oxu.az/kriminal/hebsde-olan-mugenni-deniz-esedova-sabiq-bas-hekimle-bagli-ifadesini-deyisib,1140
Dünya,131,https://images.oxu.az/2025/11/27/4iBQYQNXvhtehm4XzUWB8H9HkXQuaRrf4J48qVLH:600.webp,41,15,2025-11-28T10:03:39.964940,Foto,2025-11-27 13:22:00,İranda bir gündə 15 məhbus edam edilib,https://oxu.az/dunya/iranda-bir-gunde-15-mehbus-edam-edilib,664
İdman,13,https://images.oxu.az/2025/11/27/BgS8aC6mUdG4DJpimZTNkYKxPOjD1FMwh7XIEYyH:600.jpg,101,15,2025-11-28T10:03:39.964940,Video,2025-11-27 13:14:00,"Arda Turandan dünya liderlərinə müraciət: ""Hazırda müharibə vaxtı deyil""",https://oxu.az/idman/arda-turandan-dunya-liderlerine-muraciet-hazirda-muharibe-vaxti-deyil,1460
İqtisadiyyat,8,https://images.oxu.az/2025/11/27/qOq773xzNAhXM7JSfa4iDrQNjsYlWoUDbcjKcPfd:600.jpg,46,15,2025-11-28T10:03:39.964940,,2025-11-27 13:10:00,"Türk mütəxəssis: ""Fermerlərə tövsiyəm budur ki, Aqrar Sığorta Fondunu diqqətlə araşdırsınlar""",https://oxu.az/iqtisadiyyat/turk-mutexessis-fermerlere-tovsiyem-budur-ki-aqrar-sigorta-fondunu-diqqetle-arasdirsinlar,322
Dünya,5,https://images.oxu.az/2025/11/27/1gmHbaS6ir19I7lyZKaK4d2G0q99vjtMAQ2cV7r1:600.jpg,133,15,2025-11-28T10:03:39.964940,Video,2025-11-27 13:06:00,Qazaxıstanlı nazir təyyarədə sərnişinə tibbi yardım göstərdi,https://oxu.az/dunya/qazaxistanli-nazir-teyyarede-sernisine-tibbi-yardim-gosterdi,1379
Hadisə,90,https://images.oxu.az/2025/11/27/kaDS85aDhNxfrXDRGM7REFpCKSLh8dac8cgqmYKX:600.jpg,9,15,2025-11-28T10:03:39.964940,,2025-11-27 12:58:00,Bakıda xadimə işlədiyi evi qarət etdi,https://oxu.az/hadise/bakida-xadime-islediyi-evi-qaret-etdi,1786
İdman,5,https://images.oxu.az/2025/11/27/ub2lq5AobdNQiYAZTLQenohfpQzNYUUNxw3gLoxP:600.webp,85,15,2025-11-28T10:03:39.964940,,2025-11-27 12:56:00,Avropa çempionatı: Azərbaycanın daha iki boksçusu yarımfinala yüksəlib,https://oxu.az/idman/avropa-cempionati-azerbaycanin-daha-iki-bokscusu-yarimfinala-yukselib,335
Dünya,49,https://images.oxu.az/2025/11/27/uJWRrNB1L0a3dvWGdfY8Qeg4OD84xXK295ncdph1:600.jpg,11,15,2025-11-28T10:03:39.964940,Yenilənib,2025-11-27 12:54:00,KTMT-nin növbəti sammitinin keçiriləcəyi yer və tarix açıqlanıb,https://oxu.az/dunya/biskekde-ktmt-tehlukesizlik-surasinin-iclasi-baslayib,1409
Dünya,16,https://images.oxu.az/2025/11/27/BvbvA0AjCCWAIVr637ygs9ULGVZnePOhKKw81mEz:600.jpg,55,15,2025-11-28T10:03:39.964940,,2025-11-27 12:50:00,ABŞ qvardiyaçılarına atəş açmaqda şübhəli bilinən şəxs vaxtilə ABŞ kəşfiyyatına işləyib,https://oxu.az/dunya/abs-qvardiyacilarina-ates-acmaqda-subheli-bilinen-sexs-vaxtile-abs-kesfiyyatina-isleyib,945
İqtisadiyyat,19,https://images.oxu.az/2025/11/27/oVgNPRAACVZMlPvo2Bi77ingZvmGnTXzNwqIzmUL:600.jpg,71,15,2025-11-28T10:03:39.964940,,2025-11-27 12:42:00,Azərbaycanda meyvə təsərrüfatına 712 min manat sığorta ödənişi edilib,https://oxu.az/iqtisadiyyat/azerbaycanda-meyve-teserrufatina-712-min-manat-sigorta-odenisi-edilib,872
Digər,7,https://images.oxu.az/2025/11/27/JFS2PW3rEtVQ3ZUPxzVSOz1bRcxKLXZpRNdSzWGt:600.jpg,26,15,2025-11-28T10:03:39.964940,,2025-11-27 12:38:00,"""SABAH.fund"" qlobal süni intellekt startapına investisiya etdi: Bir milyon dollarlıq raund bağlandı",https://oxu.az/digar/sabah-fund-qlobal-suni-intellekt-startapina-investisiya-etdi-bir-milyon-dollarliq-raund-baglandi,312
Siyasət,14,https://images.oxu.az/2025/11/27/b2nm4YLFrfqWv7l9Kuh5SgSOmlaszJZDIhplTgJr:600.jpg,534,15,2025-11-28T10:03:39.964940,"Foto, Video",2025-11-27 12:37:00,İlham Əliyev AZWOOL mineral daş yunu zavodunun açılışında iştirak edib,https://oxu.az/siyaset/ilham-eliyev-azwool-mineral-das-yunu-zavodunun-acilisinda-istirak-edib,4731
İdman,12,https://images.oxu.az/2025/11/27/KiAMy2xhwbyeuxBE5ooUi9vROXyjifH9pkg6y9Se:600.webp,153,15,2025-11-28T10:03:39.964940,,2025-11-27 12:34:00,Xabi Alonso Arda Gülerdən üzr istəyib,https://oxu.az/idman/xabi-alonso-arda-gulerden-uzr-isteyib,4237
Cəmiyyət,13,https://images.oxu.az/2025/11/27/aIDvu5tftymiUD7SFYEltcxzOtEG79L4uYJqIfxr:600.webp,92,15,2025-11-28T10:03:39.964940,Video,2025-11-27 12:29:00,Sabah Bakıda və bölgələrdə çiskin olacaq - 28.11.2025,https://oxu.az/cemiyyet/sabah-bakida-ve-bolgelerde-ciskin-olacaq-28-11-2025,2199
İdman,160,https://images.oxu.az/2025/11/27/u4dgOYVm3XWC3MlVuX4V0B4JhZrQVhPn1II7pnDo:600.jpg,37,13,2025-11-28T10:03:40.056273,,2025-11-27 15:29:00,Mikayıl Cabbarov yenidən Azərbaycan Güləş Federasiyasının prezidenti seçildi,https://oxu.az/idman/mikayil-cabbarov-yeniden-azerbaycan-gules-federasiyasinin-prezidenti-secildi,292
İKT,7,https://images.oxu.az/2025/11/27/6lgJiKEmY4cHWdLWJx2jxgRnb7dn0YNkbV7DlO3d:600.jpg,25,13,2025-11-28T10:03:40.058588,,2025-11-27 15:27:00,TDT-də sosial şəbəkələrin nümayəndəliyinin yaradılması təklif olunur,https://oxu.az/ikt/tdt-de-sosial-sebekelerin-numayendeliyinin-yaradilmasi-teklif-olunur,103
İdman,16,https://images.oxu.az/2025/11/27/PnCrbozpXXZ3tOBp6XHJ85MclJM7iBPmIFjpcIFS:600.jpg,80,13,2025-11-28T10:03:40.058951,,2025-11-27 15:22:00,"Qurban Qurbanovun qardaşı: ""Musada uşaqlıqdan böyük istedad olmayıb""",https://oxu.az/idman/qurban-qurbanovun-qardasi-musada-usaqliqdan-boyuk-istedad-olmayib,3706
Cəmiyyət,11,https://images.oxu.az/2025/11/27/NWxdzODIdeD8x4i22vk76FmQOBZJOyyeDRUnhVne:600.jpg,57,13,2025-11-28T10:03:40.058951,,2025-11-27 15:20:00,"""ARB 24"" telekanalı yeddi yaşında!",https://oxu.az/cemiyyet/arb-24-telekanali-yeddi-yasinda,168
Cəmiyyət,33,https://images.oxu.az/2025/11/27/FNapkhr4mIqzdwp8TmznmjaYRRvHmKAEyeOnvEa7:600.jpg,5,13,2025-11-28T10:03:40.059965,,2025-11-27 15:18:00,Musiqi müəllimlərinin attestasiyasının vaxtı AÇIQLANDI,https://oxu.az/cemiyyet/musiqi-muellimlerinin-attestasiyasinin-vaxti-aciqlandi,953
Dünya,8,https://images.oxu.az/2025/11/27/k3cIJ88IUkd2Ar0owoAMF3YOWMLWuRJzWHYQ5cDw:600.jpg,70,13,2025-11-28T10:03:40.059965,,2025-11-27 15:16:00,"Nikol Paşinyan: ""Ermənilər və azərbaycanlılar arasında dialoq ritorikanı dəyişdirməyə yönəlib""",https://oxu.az/dunya/nikol-pasinyan-ermeniler-ve-azerbaycanlilar-arasinda-dialoq-ritorikani-deyisdirmeye-yonelib,409
Digər,26,https://images.oxu.az/2025/11/27/ihKtxulNXs46nDNpSrLU8EyLP0600YTgL05ZV50E:600.png,19,13,2025-11-28T10:03:40.059965,,2025-11-27 15:12:00,"""Trendyol"" ilin ""Əfsanə günlər""ini elan edir",https://oxu.az/digar/trendyol-ilin-efsane-gunler-ini-elan-edir,552
İdman,15,https://images.oxu.az/2025/11/27/3Zot2ulGhuyPbrtM8C4dOnfynxfqETiHYq1T89Kq:600.jpg,28,13,2025-11-28T10:03:40.059965,Foto,2025-11-27 15:10:00,"Nazir: ""Güləş sahəsi növbəti illərdə də yüksək nəticələri ilə xalqımızı qürurlandırmağa davam edəcək""",https://oxu.az/idman/nazir-gules-sahesi-novbeti-illerde-de-yuksek-neticeleri-ile-xalqimizi-qururlandirmaga-davam-edecek,241
Cəmiyyət,17,https://images.oxu.az/2025/11/27/DD4naiPenm6ahcPvGAjKq0JGektiZ6rzwI1x35N8:600.webp,37,13,2025-11-28T10:03:40.059965,"Foto, Video",2025-11-27 15:06:00,"Gürcüstan gömrüyündə saxlanılan sürücü: ""Mütəmadi olaraq belə problemlərlə qarşılaşırıq""",https://oxu.az/cemiyyet/gurcustan-gomruyunde-saxlanilan-surucu-mutemadi-olaraq-bele-problemlerle-qarsilasiriq,471
Dünya,12,https://images.oxu.az/2025/11/27/c4aXNrfTxtgZkXZty7enzvIcmTKvQQmrHKPaLJg3:600.webp,169,13,2025-11-28T10:03:40.059965,,2025-11-27 15:04:00,"Paşinyan: ""Qarşıdan gələn seçkilərdə baş nazir vəzifəsinə namizəd olacağam""",https://oxu.az/dunya/pasinyan-qarsidan-gelen-seckilerde-bas-nazir-vezifesine-namized-olacagam,635
Siyasət,29,https://images.oxu.az/2025/11/27/9f2r1IFOU9SKnaApZ18hdHLOgSLsAvy26mzYwWwL:600.jpg,24,13,2025-11-28T10:03:40.059965,,2025-11-27 15:03:00,"Natiq Məmmədli: ""Biz süni intellekti rəqib kimi götürürüksə, bu, məğlubiyyətdir""",https://oxu.az/siyaset/natiq-memmedli-biz-suni-intellekti-reqib-kimi-gotururukse-bu-meglubiyyetdir,289
Dünya,11,https://images.oxu.az/2025/11/27/kPE87c57Gwm81JNn1ZMihysFFoAWkc6epJ10XinK:600.jpg,229,13,2025-11-28T10:03:40.059965,,2025-11-27 14:58:00,"Moldova ""Rus evi""ni bağladı",https://oxu.az/dunya/moldova-rus-evi-ni-bagladi,455
Cəmiyyət,18,https://images.oxu.az/2025/11/27/4T0ZoENSb9RlQii4ICeMJgxWDmEWrPdwdjvxSFip:600.jpg,74,13,2025-11-28T10:03:40.059965,Video,2025-11-27 14:50:00,Bakıda restoran ciddi təhlükə yaradır - Sakinlər narahatdırlar,https://oxu.az/cemiyyet/bakida-restoran-ciddi-tehluke-yaradir-sakinler-narahatdirlar,4310
Dünya,79,https://images.oxu.az/2025/11/27/sgpOOc6EQLZ8DOAjK5K2XrlbEVWg2JZT2kdGmgUT:600.jpg,45,13,2025-11-28T10:03:40.059965,Açıqlama,2025-11-27 14:42:00,Türk əsgərləri Ukraynaya göndəriləcək?,https://oxu.az/dunya/turk-esgerleri-ukraynaya-gonderilecek,1569
Cəmiyyət,33,https://images.oxu.az/2025/11/27/6mIoOey8dIKvWcFTKyxjz1MFXFNgHmUFAQgegwhI:600.png,91,13,2025-11-28T10:03:40.059965,Foto,2025-11-27 14:34:00,"Şəhid məzarından başlayan toy: ""Bu günü illərlə gözlədik""",https://oxu.az/cemiyyet/sehid-mezarindan-baslayan-toy-bu-gunu-illerle-gozledik,2130
Siyasət,83,https://images.oxu.az/2025/11/27/jwSyOAyotubH3i9HPOSS9nVySE8E7t8DFJ5EBMS0:600.webp,21,13,2025-11-28T10:03:40.059965,,2025-11-27 14:30:00,"Sahil Babayev: ""İordaniya Azərbaycanı tranzit habı kimi nəzərdən keçirir""",https://oxu.az/siyaset/sahil-babayev-iordaniya-azerbaycani-tranzit-habi-kimi-nezerden-kecirir,438
